subject_id,split,n_binary_mi_runs,expected_trials_approx,actual_t1_events,actual_t2_events,actual_total_trials,usable_trials,run_statuses
S027,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S028,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S029,train,3,45,23,22,45,45,VALID|VALID|VALID
S030,train,3,45,24,21,45,45,VALID|VALID|VALID
S031,train,3,45,22,23,45,45,VALID|VALID|VALID
S032,train,3,45,21,24,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S033,train,3,45,23,22,45,45,VALID|VALID|VALID
S034,train,3,45,21,24,45,45,VALID|VALID|VALID
S035,train,3,45,22,23,45,45,VALID|VALID|VALID
S036,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S037,train,3,45,23,22,45,45,VALID|VALID|VALID
S038,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S039,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S040,train,3,45,21,24,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S041,train,3,45,24,21,45,45,VALID|VALID|VALID
S042,train,3,45,22,23,45,45,VALID|VALID|VALID
S043,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S044,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S045,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S046,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S047,train,3,45,24,21,45,45,VALID|VALID|VALID
S048,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S049,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S050,train,3,45,23,22,45,45,VALID|VALID|VALID
S051,train,3,45,24,21,45,45,VALID|VALID|VALID
S052,train,3,45,24,21,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S053,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S054,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S055,train,3,45,23,22,45,45,VALID|VALID|VALID
S056,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S057,train,3,45,24,21,45,45,VALID|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S058,train,3,45,24,21,45,45,VALID|VALID|VALID
S059,train,3,45,24,21,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S060,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S061,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S062,train,3,45,23,22,45,45,VALID|VALID|VALID
S063,train,3,45,22,23,45,45,VALID|VALID|VALID
S064,train,3,45,23,22,45,45,VALID|VALID|VALID
S065,train,3,45,24,21,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S066,train,3,45,22,23,45,45,VALID|VALID|VALID
S067,train,3,45,22,23,45,45,VALID|VALID|VALID
S068,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S069,train,3,45,24,21,45,45,VALID|VALID|VALID
S070,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S071,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S072,train,3,45,22,23,45,45,VALID|VALID|VALID
S073,train,3,45,23,22,45,45,VALID|VALID|VALID
S074,train,3,45,24,21,45,45,VALID|VALID|VALID
S075,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S076,train,3,45,23,22,45,45,VALID|VALID|VALID
S077,train,3,45,21,24,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S078,validation,3,45,23,22,45,45,VALID|VALID|VALID
S079,validation,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S080,validation,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S081,validation,3,45,22,23,45,45,VALID|VALID|VALID
S082,validation,3,45,23,22,45,45,VALID|VALID|VALID
S083,validation,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S084,validation,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S085,validation,3,45,23,22,45,45,VALID|VALID|VALID
S086,validation,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S087,validation,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S088,validation,3,57,29,28,57,57,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S089,validation,3,45,24,21,45,45,VALID|VALID|VALID
S090,validation,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S091,validation,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S092,validation,3,57,27,30,57,57,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S093,validation,3,45,23,22,45,45,VALID|VALID|VALID
S094,test,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S095,test,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S096,test,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S097,test,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S098,test,3,45,23,22,45,45,VALID|VALID|VALID
S099,test,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S100,test,3,57,18,18,36,36,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S101,test,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S102,test,3,45,22,23,45,45,VALID|VALID|VALID
S103,test,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S104,test,3,45,22,21,43,43,VALID|VALID_WITH_WARNINGS|VALID
S105,test,3,45,23,22,45,45,VALID|VALID|VALID
S106,test,3,45,24,21,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S107,test,3,45,24,21,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S108,test,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S109,test,3,45,23,22,45,45,VALID|VALID|VALID
