subject_id,run_id,run_label,file_path,split,file_exists,file_size_bytes,readable,n_channels,n_eeg_channels,sfreq,duration_seconds,n_samples,has_annotation_channel,n_t0_events,n_t1_events,n_t2_events,n_total_events,duplicate_markers,events_outside_recording,has_nan,has_inf,n_flat_channels,n_outlier_channels,flat_channels,outlier_channels,is_binary_mi_run,expected_t1_label,expected_t2_label,usable_trial_count,status,warnings,classification_reason,error_message
S010,8,R08,data/raw/physionet/S010/S010R08.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,42,,Fc5.|Fc1.|Fcz.|Fc4.|C3..|C4..|Cp5.|Cp3.|Cpz.|Cp6.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af8.|F7..|F5..|F3..|F1..|F2..|F6..|Ft7.|Ft8.|T7..|T8..|T10.|Tp7.|Tp8.|P7..|P5..|P3..|P6..|P8..|Po7.|Po3.|Poz.|Po8.|O1..|Oz..|O2..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"42 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc1., Fcz., Fc4., C3.. ...","1 warning(s): 42 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc1., Fcz., Fc4., C3.. ...",
S010,12,R12,data/raw/physionet/S010/S010R12.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,37,,Fc5.|Fc3.|Fc1.|Fcz.|C5..|C3..|C4..|C6..|Cp3.|Cp6.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|F2..|F4..|F6..|Ft8.|T8..|T10.|Tp8.|P6..|P8..|Po3.|Poz.|Po8.|O1..|Oz..|O2..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"37 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., C5.. ...","1 warning(s): 37 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., C5.. ...",
S013,4,R04,data/raw/physionet/S013/S013R04.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,12,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F6..|F8..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"12 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 12 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S013,8,R08,data/raw/physionet/S013/S013R08.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,44,,Fc5.|Fc3.|Fcz.|Fc2.|Fc4.|Fc6.|C5..|C3..|C1..|C6..|Cp5.|Cp3.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Af4.|Af8.|F7..|F5..|F4..|F8..|Ft7.|Ft8.|T7..|T8..|T9..|T10.|Tp7.|Tp8.|P7..|P1..|P4..|P6..|P8..|Po7.|Po3.|Poz.|Po8.|O1..|Oz..|O2..|Iz..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"44 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fcz., Fc2., Fc4. ...","1 warning(s): 44 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fcz., Fc2., Fc4. ...",
S013,12,R12,data/raw/physionet/S013/S013R12.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,7,8,30,0,0,False,False,0,17,,Fc3.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|F4..|F6..|F8..|Tp7.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"17 amplitude-outlier channel(s) (> 500.0 µV): Fc3., Fp1., Fpz., Fp2., Af7. ...","1 warning(s): 17 amplitude-outlier channel(s) (> 500.0 µV): Fc3., Fp1., Fpz., Fp2., Af7. ...",
S015,4,R04,data/raw/physionet/S015/S015R04.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,7,8,30,0,0,False,False,0,8,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af8.|F7..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"8 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 8 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S015,8,R08,data/raw/physionet/S015/S015R08.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,6,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Af8.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"6 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 6 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S015,12,R12,data/raw/physionet/S015/S015R12.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,9,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af8.|F7..|F5..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"9 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 9 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S017,4,R04,data/raw/physionet/S017/S017R04.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,7,8,30,0,0,False,False,0,41,,Fc5.|Fc3.|Fc1.|Fcz.|Fc2.|Fc4.|Fc6.|C5..|C3..|C1..|Cz..|C2..|C4..|C6..|Cp5.|Cp3.|Cpz.|Cp2.|Cp4.|Cp6.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|Fz..|F2..|F4..|F6..|F8..|Ft7.|Ft8.|T10.|O2..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"41 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...","1 warning(s): 41 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...",
S017,8,R08,data/raw/physionet/S017/S017R08.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,32,,Fc5.|Fc3.|Fc1.|Fcz.|Fc2.|Fc4.|Fc6.|C5..|C3..|C2..|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|Fz..|F2..|F4..|F6..|F8..|Ft7.|Ft8.|T10.|Tp8.|Po3.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"32 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...","1 warning(s): 32 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...",
S017,12,R12,data/raw/physionet/S017/S017R12.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,47,,Fc5.|Fc3.|Fc1.|Fcz.|Fc2.|Fc4.|Fc6.|C5..|C3..|C1..|Cz..|C4..|C6..|Cp3.|Cp2.|Cp4.|Cp6.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|Fz..|F2..|F4..|F6..|F8..|Ft7.|Ft8.|T7..|T8..|T10.|Tp8.|P2..|P4..|P6..|P8..|Po4.|Po8.|O2..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"47 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...","1 warning(s): 47 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...",
S019,4,R04,data/raw/physionet/S019/S019R04.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,16,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|Fz..|F2..|F4..|F8..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"16 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 16 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S019,8,R08,data/raw/physionet/S019/S019R08.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,7,,Fp1.|Fpz.|Fp2.|Af7.|Af8.|F7..|F6..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"7 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af8. ...","1 warning(s): 7 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af8. ...",
S019,12,R12,data/raw/physionet/S019/S019R12.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,7,8,30,0,0,False,False,0,10,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F4..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"10 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 10 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S022,4,R04,data/raw/physionet/S022/S022R04.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,7,8,30,0,0,False,False,0,16,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F2..|F4..|F6..|F8..|Ft8.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"16 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 16 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S022,8,R08,data/raw/physionet/S022/S022R08.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,8,7,30,0,0,False,False,0,13,,Cp1.|Cp2.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F8..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"13 amplitude-outlier channel(s) (> 500.0 µV): Cp1., Cp2., Fp1., Fpz., Fp2. ...","1 warning(s): 13 amplitude-outlier channel(s) (> 500.0 µV): Cp1., Cp2., Fp1., Fpz., Fp2. ...",
S022,12,R12,data/raw/physionet/S022/S022R12.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,7,8,30,0,0,False,False,0,6,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Af8.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"6 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 6 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S023,4,R04,data/raw/physionet/S023/S023R04.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,10,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Af8.|F7..|F5..|F1..|Po8.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"10 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 10 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S023,8,R08,data/raw/physionet/S023/S023R08.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,7,8,30,0,0,False,False,0,8,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Af8.|F7..|F5..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"8 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 8 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S023,12,R12,data/raw/physionet/S023/S023R12.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,7,8,30,0,0,False,False,0,11,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F8..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"11 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 11 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S027,4,R04,data/raw/physionet/S027/S027R04.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,17,,Fcz.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F3..|F1..|Fz..|F2..|F4..|F6..|F8..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"17 amplitude-outlier channel(s) (> 500.0 µV): Fcz., Fp1., Fpz., Fp2., Af7. ...","1 warning(s): 17 amplitude-outlier channel(s) (> 500.0 µV): Fcz., Fp1., Fpz., Fp2., Af7. ...",
S027,8,R08,data/raw/physionet/S027/S027R08.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,7,8,30,0,0,False,False,0,12,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F2..|F4..|F6..|F8..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"12 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 12 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S027,12,R12,data/raw/physionet/S027/S027R12.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,17,,Cp1.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F1..|Fz..|F2..|F4..|F6..|F8..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"17 amplitude-outlier channel(s) (> 500.0 µV): Cp1., Fp1., Fpz., Fp2., Af7. ...","1 warning(s): 17 amplitude-outlier channel(s) (> 500.0 µV): Cp1., Fp1., Fpz., Fp2., Af7. ...",
S028,4,R04,data/raw/physionet/S028/S028R04.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,28,,Fc5.|Fc3.|Fc1.|Fcz.|Fc2.|Fc4.|C5..|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|Fz..|F2..|F4..|F6..|F8..|Ft7.|Ft8.|T9..|T10.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"28 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...","1 warning(s): 28 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...",
S028,8,R08,data/raw/physionet/S028/S028R08.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,7,8,30,0,0,False,False,0,61,,Fc5.|Fc3.|Fc1.|Fcz.|Fc2.|Fc6.|C5..|C3..|C1..|Cz..|C2..|C4..|Cp5.|Cp3.|Cp1.|Cpz.|Cp2.|Cp4.|Cp6.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|Fz..|F2..|F4..|F6..|F8..|Ft7.|Ft8.|T7..|T9..|T10.|Tp7.|Tp8.|P7..|P5..|P3..|P1..|Pz..|P2..|P4..|P6..|P8..|Po7.|Po3.|Poz.|Po4.|Po8.|O1..|Oz..|O2..|Iz..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"61 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...","1 warning(s): 61 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...",
S028,12,R12,data/raw/physionet/S028/S028R12.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,7,8,30,0,0,False,False,0,39,,Fc5.|Fc3.|Fc1.|Fcz.|Fc2.|Fc4.|Fc6.|C5..|C3..|C1..|Cz..|C2..|C4..|C6..|Cp3.|Cp4.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|Fz..|F2..|F4..|F6..|F8..|Ft7.|Ft8.|T7..|T9..|Tp7.|P7..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"39 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...","1 warning(s): 39 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...",
S032,4,R04,data/raw/physionet/S032/S032R04.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,7,8,30,0,0,False,False,0,14,,Cpz.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F6..|F8..|Ft8.|P2..|Poz.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"14 amplitude-outlier channel(s) (> 500.0 µV): Cpz., Fp1., Fpz., Fp2., Af7. ...","1 warning(s): 14 amplitude-outlier channel(s) (> 500.0 µV): Cpz., Fp1., Fpz., Fp2., Af7. ...",
S032,8,R08,data/raw/physionet/S032/S032R08.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,7,8,30,0,0,False,False,0,8,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"8 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 8 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S032,12,R12,data/raw/physionet/S032/S032R12.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,7,8,30,0,0,False,False,0,30,,Fc2.|Fc6.|Cz..|Cp3.|Cp1.|Cpz.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F5..|F3..|F1..|Fz..|F2..|F4..|F6..|F8..|T7..|T10.|Tp7.|P5..|P1..|P2..|Po7.|O1..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"30 amplitude-outlier channel(s) (> 500.0 µV): Fc2., Fc6., Cz.., Cp3., Cp1. ...","1 warning(s): 30 amplitude-outlier channel(s) (> 500.0 µV): Fc2., Fc6., Cz.., Cp3., Cp1. ...",
S036,4,R04,data/raw/physionet/S036/S036R04.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,18,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|Fz..|F2..|F4..|F6..|F8..|Pz..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"18 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 18 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S036,8,R08,data/raw/physionet/S036/S036R08.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,7,8,30,0,0,False,False,0,52,,Fc5.|Fc3.|Fc1.|Fcz.|Fc2.|Fc4.|C5..|C3..|C1..|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|Fz..|F2..|F4..|F6..|F8..|Ft7.|Ft8.|T7..|T8..|T9..|T10.|Tp7.|Tp8.|P7..|P5..|P3..|P1..|Pz..|P2..|P4..|P6..|P8..|Po7.|Po3.|Poz.|Po4.|Po8.|O1..|Oz..|O2..|Iz..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"52 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...","1 warning(s): 52 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...",
